__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1639606592.804993,120506.000000,590972.000000,1639606592.804993,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.805461,,,,,,,,,,58468.000000,-3.771074
1639606592.805965,120507.000000,590973.000000,1639606592.805965,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.807961,120508.000000,590974.000000,1639606592.807961,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.808072,,,,,,,,,,58469.000000,-3.771074
1639606592.808248,,,,,,,,,,58470.000000,-3.771074
1639606592.808966,120509.000000,590975.000000,1639606592.808966,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.809966,120510.000000,590976.000000,1639606592.809966,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.809991,,,,,,,,,,58471.000000,-3.771074
1639606592.810360,,,,,,,,,,58472.000000,-3.771074
1639606592.810975,120511.000000,590977.000000,1639606592.810975,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.811534,,,,,,,,,,58473.000000,-3.771074
1639606592.812958,120512.000000,590978.000000,1639606592.812958,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.813963,120513.000000,590979.000000,1639606592.813963,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.814223,,,,,,,,,,58474.000000,-3.771074
1639606592.814725,,,,,,,,,,58475.000000,-3.771074
1639606592.814972,120514.000000,590980.000000,1639606592.814972,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.815976,120515.000000,590981.000000,1639606592.815976,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.816109,,,,,,,,,,58476.000000,-3.771074
1639606592.816379,,,,,,,,,,58477.000000,-3.771074
1639606592.817893,,,,,,,,,,58478.000000,-3.771074
1639606592.817971,120516.000000,590982.000000,1639606592.817971,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.818985,120517.000000,590983.000000,1639606592.818985,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.820033,120518.000000,590984.000000,1639606592.820033,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.821013,120519.000000,590985.000000,1639606592.821013,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.822135,,,,,,,,,,58479.000000,-3.771074
1639606592.822516,,,,,,,,,,58480.000000,-3.771074
1639606592.822997,,,,,,,,,,58481.000000,-3.771074
1639606592.823030,120520.000000,590986.000000,1639606592.823030,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.823983,120521.000000,590987.000000,1639606592.823983,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.824586,,,,,,,,,,58482.000000,-3.771074
1639606592.824746,,,,,,,,,,58483.000000,-3.771074
1639606592.824968,120522.000000,590988.000000,1639606592.824968,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.825988,120523.000000,590989.000000,1639606592.825988,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.827985,120524.000000,590990.000000,1639606592.827985,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.828078,,,,,,,,,,58484.000000,-3.771074
1639606592.828850,,,,,,,,,,58485.000000,-3.771074
1639606592.829029,120525.000000,590991.000000,1639606592.829029,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,,
1639606592.829570,,,,,,,,,,58486.000000,-3.771074
