__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1639603486.967970,228019.000000,60007.000000,1639603486.967970,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603486.968941,228020.000000,60008.000000,1639603486.968941,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603486.970961,228021.000000,60009.000000,1639603486.970961,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603486.972744,228022.000000,60010.000000,1639603486.972744,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603486.973985,228023.000000,60011.000000,1639603486.973985,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603486.974988,228024.000000,60012.000000,1639603486.974988,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603486.975978,228025.000000,60013.000000,1639603486.975978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.976984,228026.000000,60014.000000,1639603486.976984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.977988,228027.000000,60015.000000,1639603486.977988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.979183,228028.000000,60016.000000,1639603486.979183,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603486.981009,228029.000000,60017.000000,1639603486.981009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.982016,228030.000000,60018.000000,1639603486.982016,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603486.982970,228031.000000,60019.000000,1639603486.982970,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603486.983996,228032.000000,60020.000000,1639603486.983996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.985988,228033.000000,60021.000000,1639603486.985988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.986969,228034.000000,60022.000000,1639603486.986969,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603486.987986,228035.000000,60023.000000,1639603486.987986,0.000000,0.000000,0.000000,-0.002000,0.000000,0.000000
1639603486.988981,228036.000000,60024.000000,1639603486.988981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.990963,228037.000000,60025.000000,1639603486.990963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.991991,228038.000000,60026.000000,1639603486.991991,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603486.993093,228039.000000,60027.000000,1639603486.993093,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603486.994023,228040.000000,60028.000000,1639603486.994023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603486.995949,228041.000000,60029.000000,1639603486.995949,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603486.996991,228042.000000,60030.000000,1639603486.996991,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603486.997975,228043.000000,60031.000000,1639603486.997975,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603486.998971,228044.000000,60032.000000,1639603486.998971,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.000948,228045.000000,60033.000000,1639603487.000948,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.001982,228046.000000,60034.000000,1639603487.001982,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.002982,228047.000000,60035.000000,1639603487.002982,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.003972,228048.000000,60036.000000,1639603487.003972,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.005972,228049.000000,60037.000000,1639603487.005972,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.006978,228050.000000,60038.000000,1639603487.006978,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.007973,228051.000000,60039.000000,1639603487.007973,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.008979,228052.000000,60040.000000,1639603487.008979,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.010956,228053.000000,60041.000000,1639603487.010956,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.011975,228054.000000,60042.000000,1639603487.011975,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.012985,228055.000000,60043.000000,1639603487.012985,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.014053,228056.000000,60044.000000,1639603487.014053,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.017993,228057.000000,60047.000000,1639603487.017993,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.021988,228058.000000,60050.000000,1639603487.021988,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.023009,228059.000000,60051.000000,1639603487.023009,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.023984,228060.000000,60052.000000,1639603487.023984,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.025986,228061.000000,60053.000000,1639603487.025986,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.026974,228062.000000,60054.000000,1639603487.026974,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.027983,228063.000000,60055.000000,1639603487.027983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.028984,228064.000000,60056.000000,1639603487.028984,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.031007,228065.000000,60057.000000,1639603487.031007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.031992,228066.000000,60058.000000,1639603487.031992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.032990,228067.000000,60059.000000,1639603487.032990,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.033988,228068.000000,60060.000000,1639603487.033988,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.035978,228069.000000,60061.000000,1639603487.035978,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.036938,228070.000000,60062.000000,1639603487.036938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.037979,228071.000000,60063.000000,1639603487.037979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.038987,228072.000000,60064.000000,1639603487.038987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.040971,228073.000000,60065.000000,1639603487.040971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.041973,228074.000000,60066.000000,1639603487.041973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.042949,228075.000000,60067.000000,1639603487.042949,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.043970,228076.000000,60068.000000,1639603487.043970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.045972,228077.000000,60069.000000,1639603487.045972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.046955,228078.000000,60070.000000,1639603487.046955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.047973,228079.000000,60071.000000,1639603487.047973,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.048973,228080.000000,60072.000000,1639603487.048973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.050950,228081.000000,60073.000000,1639603487.050950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.051983,228082.000000,60074.000000,1639603487.051983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.052990,228083.000000,60075.000000,1639603487.052990,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.053983,228084.000000,60076.000000,1639603487.053983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.055970,228085.000000,60077.000000,1639603487.055970,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.056982,228086.000000,60078.000000,1639603487.056982,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.057990,228087.000000,60079.000000,1639603487.057990,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.058994,228088.000000,60080.000000,1639603487.058994,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.060983,228089.000000,60081.000000,1639603487.060983,0.000000,0.000000,0.000000,-0.002000,0.000000,0.000000
1639603487.061987,228090.000000,60082.000000,1639603487.061987,0.000000,0.000000,0.000000,-0.002000,0.000000,0.000000
1639603487.062977,228091.000000,60083.000000,1639603487.062977,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
1639603487.063981,228092.000000,60084.000000,1639603487.063981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.065093,228093.000000,60085.000000,1639603487.065093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.067170,228094.000000,60086.000000,1639603487.067170,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.068017,228095.000000,60087.000000,1639603487.068017,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.068952,228096.000000,60088.000000,1639603487.068952,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.071000,228097.000000,60089.000000,1639603487.071000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.071982,228098.000000,60090.000000,1639603487.071982,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.072989,228099.000000,60091.000000,1639603487.072989,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.073989,228100.000000,60092.000000,1639603487.073989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.075986,228101.000000,60093.000000,1639603487.075986,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.076981,228102.000000,60094.000000,1639603487.076981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.077991,228103.000000,60095.000000,1639603487.077991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.079124,228104.000000,60096.000000,1639603487.079124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.080999,228105.000000,60097.000000,1639603487.080999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.082034,228106.000000,60098.000000,1639603487.082034,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.083017,228107.000000,60099.000000,1639603487.083017,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.083983,228108.000000,60100.000000,1639603487.083983,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
1639603487.085997,228109.000000,60101.000000,1639603487.085997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.086973,228110.000000,60102.000000,1639603487.086973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.087981,228111.000000,60103.000000,1639603487.087981,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.088984,228112.000000,60104.000000,1639603487.088984,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.090973,228113.000000,60105.000000,1639603487.090973,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.091981,228114.000000,60106.000000,1639603487.091981,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
1639603487.092975,228115.000000,60107.000000,1639603487.092975,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
1639603487.094024,228116.000000,60108.000000,1639603487.094024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.095993,228117.000000,60109.000000,1639603487.095993,0.000000,0.000000,0.000000,-0.002000,0.000000,0.000000
1639603487.097026,228118.000000,60110.000000,1639603487.097026,0.000000,0.000000,0.000000,-0.002000,0.000000,0.000000
1639603487.097998,228119.000000,60111.000000,1639603487.097998,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.098992,228120.000000,60112.000000,1639603487.098992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.102003,228121.000000,60114.000000,1639603487.102003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.104990,228122.000000,60115.000000,1639603487.104990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.105990,228123.000000,60116.000000,1639603487.105990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.107016,228124.000000,60117.000000,1639603487.107016,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.107977,228125.000000,60118.000000,1639603487.107977,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000
1639603487.108991,228126.000000,60119.000000,1639603487.108991,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.109989,228127.000000,60120.000000,1639603487.109989,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.111034,228128.000000,60121.000000,1639603487.111034,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.112512,228129.000000,60122.000000,1639603487.112512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1639603487.113987,228130.000000,60123.000000,1639603487.113987,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.115033,228131.000000,60124.000000,1639603487.115033,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.115988,228132.000000,60125.000000,1639603487.115988,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000
1639603487.116985,228133.000000,60126.000000,1639603487.116985,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000
1639603487.117992,228134.000000,60127.000000,1639603487.117992,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.118986,228135.000000,60128.000000,1639603487.118986,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.120387,228136.000000,60129.000000,1639603487.120387,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.122003,228137.000000,60130.000000,1639603487.122003,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.122990,228138.000000,60131.000000,1639603487.122990,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.123983,228139.000000,60132.000000,1639603487.123983,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.125980,228140.000000,60133.000000,1639603487.125980,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.126957,228141.000000,60134.000000,1639603487.126957,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603487.127985,228142.000000,60135.000000,1639603487.127985,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.129130,228143.000000,60136.000000,1639603487.129130,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.130989,228144.000000,60137.000000,1639603487.130989,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603487.132005,228145.000000,60138.000000,1639603487.132005,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603487.132983,228146.000000,60139.000000,1639603487.132983,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
