__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1639603044.367058,50277.000000,71927.000000,1639603044.367058,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.368115,50278.000000,71928.000000,1639603044.368115,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603044.369307,50279.000000,71929.000000,1639603044.369307,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.369965,50280.000000,71930.000000,1639603044.369965,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.371951,50281.000000,71931.000000,1639603044.371951,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.375022,50282.000000,71932.000000,1639603044.375022,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.376327,50283.000000,71933.000000,1639603044.376327,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603044.377442,50284.000000,71934.000000,1639603044.377442,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603044.377981,50285.000000,71935.000000,1639603044.377981,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603044.379002,50286.000000,71936.000000,1639603044.379002,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603044.379961,50287.000000,71937.000000,1639603044.379961,0.000000,0.000000,-0.000000,-0.001000,0.000000,0.000000
1639603044.380978,50288.000000,71938.000000,1639603044.380978,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603044.381980,50289.000000,71939.000000,1639603044.381980,0.000000,0.000000,-0.000000,0.001000,0.000000,0.000000
1639603044.384963,50290.000000,71942.000000,1639603044.384963,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
1639603044.386960,50291.000000,71943.000000,1639603044.386960,0.000000,0.000000,-0.000000,-0.002000,0.000000,0.000000
1639603044.387979,50292.000000,71944.000000,1639603044.387979,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
