__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645140596.864042,14740.000000,111789.000000,1645140596.864042,0.000000,0.000000,-0.000000,-0.001000,-0.000767,0.000000,,
1645140596.865046,14741.000000,111790.000000,1645140596.865046,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.866117,14742.000000,111791.000000,1645140596.866117,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.867055,14743.000000,111792.000000,1645140596.867055,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.869071,14744.000000,111793.000000,1645140596.869071,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.870128,14745.000000,111794.000000,1645140596.870128,0.000000,0.000000,-0.000000,0.001000,-0.000767,0.000000,,
1645140596.871060,14746.000000,111795.000000,1645140596.871060,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.872052,14747.000000,111796.000000,1645140596.872052,0.000000,0.000000,-0.000000,0.000000,-0.000767,0.000000,,
1645140596.874036,,,,,,,,,,7120.000000,0.000070
1645140596.874051,14748.000000,111797.000000,1645140596.874051,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.875394,14749.000000,111798.000000,1645140596.875394,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.876054,14750.000000,111799.000000,1645140596.876054,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,,
1645140596.876210,,,,,,,,,,7121.000000,-0.000186
1645140596.877056,14751.000000,111800.000000,1645140596.877056,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,,
1645140596.877543,,,,,,,,,,7122.000000,-0.000090
1645140596.878824,,,,,,,,,,7123.000000,0.000012
1645140596.879053,14752.000000,111801.000000,1645140596.879053,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.880074,14753.000000,111802.000000,1645140596.880074,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.880409,,,,,,,,,,7124.000000,-0.000018
1645140596.881066,14754.000000,111803.000000,1645140596.881066,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.882058,14755.000000,111804.000000,1645140596.882058,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,,
1645140596.882773,,,,,,,,,,7125.000000,-0.000063
1645140596.883691,,,,,,,,,,7126.000000,-0.000016
1645140596.884049,14756.000000,111805.000000,1645140596.884049,0.000000,0.000000,0.000000,0.000000,-0.000767,0.000000,,
1645140596.885127,14757.000000,111806.000000,1645140596.885127,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,,
1645140596.885300,,,,,,,,,,7127.000000,-0.000090
1645140596.885929,,,,,,,,,,7128.000000,0.000052
1645140596.886581,14758.000000,111807.000000,1645140596.886581,0.000000,0.000000,0.000000,-0.001000,-0.000767,0.000000,,
1645140596.887025,,,,,,,,,,7129.000000,-0.000308
1645140596.888130,14759.000000,111808.000000,1645140596.888130,0.000000,0.000000,0.000000,0.001000,-0.000767,0.000000,,
1645140596.888573,,,,,,,,,,7130.000000,0.000005
