__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645142735.295500,723129.000000,67375.000000,1645142735.295500,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.296431,,,,,,,,,,522810.000000,-0.079498
1645142735.296487,723130.000000,67376.000000,1645142735.296487,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.297418,723131.000000,67377.000000,1645142735.297418,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.297769,,,,,,,,,,522811.000000,-0.079342
1645142735.299437,723132.000000,67378.000000,1645142735.299437,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.300425,723133.000000,67379.000000,1645142735.300425,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.300558,,,,,,,,,,522812.000000,-0.079525
1645142735.301236,,,,,,,,,,522813.000000,-0.079344
1645142735.301499,723134.000000,67380.000000,1645142735.301499,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.302294,,,,,,,,,,522814.000000,-0.079414
1645142735.302435,723135.000000,67381.000000,1645142735.302435,0.000000,0.019936,0.000000,-0.079000,-0.001534,0.000000,,
1645142735.304103,,,,,,,,,,522815.000000,-0.079371
1645142735.304421,723136.000000,67382.000000,1645142735.304421,0.000000,0.019936,0.000000,-0.078000,-0.001534,0.000000,,
1645142735.305409,723137.000000,67383.000000,1645142735.305409,0.000000,0.019936,0.000000,-0.080000,-0.001534,0.000000,,
1645142735.306422,723138.000000,67384.000000,1645142735.306422,0.000000,0.019936,0.000000,-0.080000,-0.001534,0.000000,,
1645142735.306479,,,,,,,,,,522816.000000,-0.079470
1645142735.307405,723139.000000,67385.000000,1645142735.307405,0.000000,0.019936,0.000000,-0.077000,-0.001534,0.000000,,
1645142735.308404,,,,,,,,,,522817.000000,-0.079375
1645142735.309043,,,,,,,,,,522818.000000,-0.079374
1645142735.309705,,,,,,,,,,522819.000000,-0.079459
1645142735.312420,723140.000000,67389.000000,1645142735.312420,0.000000,0.019936,-0.000000,-0.078000,-0.001534,0.000000,,
1645142735.314405,723141.000000,67390.000000,1645142735.314405,0.000000,0.019936,-0.000000,-0.079000,-0.001534,0.000000,,
1645142735.315395,723142.000000,67391.000000,1645142735.315395,0.000000,0.019936,-0.000000,-0.079000,-0.001534,0.000000,,
1645142735.316427,723143.000000,67392.000000,1645142735.316427,0.000000,0.019936,-0.000000,-0.077000,-0.001534,0.000000,,
1645142735.317404,723144.000000,67393.000000,1645142735.317404,0.000000,0.019936,-0.000000,-0.080000,-0.001534,0.000000,,
1645142735.317451,,,,,,,,,,522820.000000,-0.079600
1645142735.319458,723145.000000,67394.000000,1645142735.319458,0.000000,0.019936,-0.000000,-0.078000,-0.001534,0.000000,,
1645142735.320426,723146.000000,67395.000000,1645142735.320426,0.000000,0.019936,-0.000000,-0.078000,-0.001534,0.000000,,
1645142735.320590,,,,,,,,,,522821.000000,-0.079357
1645142735.321421,723147.000000,67396.000000,1645142735.321421,0.000000,0.019936,-0.000000,-0.078000,-0.001534,0.000000,,
1645142735.322413,723148.000000,67397.000000,1645142735.322413,0.000000,0.019936,-0.000000,-0.080000,-0.001534,0.000000,,
1645142735.323306,,,,,,,,,,522822.000000,-0.079215
1645142735.324174,,,,,,,,,,522823.000000,-0.079385
1645142735.324408,723149.000000,67398.000000,1645142735.324408,0.000000,0.019936,-0.000000,-0.082000,-0.001534,0.000000,,
1645142735.325338,,,,,,,,,,522824.000000,-0.079866
1645142735.325406,723150.000000,67399.000000,1645142735.325406,0.000000,0.019936,-0.000000,-0.080000,-0.001534,0.000000,,
1645142735.326413,723151.000000,67400.000000,1645142735.326413,0.000000,0.019936,-0.000000,-0.079000,-0.001534,0.000000,,
1645142735.327439,723152.000000,67401.000000,1645142735.327439,0.000000,0.019936,-0.000000,-0.079000,-0.001534,0.000000,,
