__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645142421.969398,,,,,,,,,,500324.000000,-2.218279
1645142421.971567,,,,,,,,,,500325.000000,-2.218279
1645142421.973751,,,,,,,,,,500326.000000,-2.218279
1645142421.974215,,,,,,,,,,500327.000000,-2.218279
1645142421.974912,,,,,,,,,,500328.000000,-2.218279
1645142421.975600,,,,,,,,,,500329.000000,-2.218279
1645142421.977807,,,,,,,,,,500330.000000,-2.218279
1645142421.978668,,,,,,,,,,500331.000000,-2.218279
1645142421.979221,,,,,,,,,,500332.000000,-2.218279
1645142421.982304,,,,,,,,,,500333.000000,-2.218279
1645142421.982653,,,,,,,,,,500334.000000,-2.218279
1645142421.983097,,,,,,,,,,500335.000000,-2.218279
1645142421.985901,,,,,,,,,,500336.000000,-2.218279
1645142421.990239,,,,,,,,,,500337.000000,-2.218279
1645142421.990539,,,,,,,,,,500338.000000,-2.218279
1645142421.990973,,,,,,,,,,500339.000000,-2.218279
1645142421.991560,,,,,,,,,,500340.000000,-2.218279
1645142421.994160,,,,,,,,,,500341.000000,-2.218279
1645142421.994289,,,,,,,,,,500342.000000,-2.218279
1645142421.995891,,,,,,,,,,500343.000000,-2.218279
1645142421.998976,,,,,,,,,,500344.000000,-2.218279
1645142421.999041,,,,,,,,,,500345.000000,-2.218279
1645142421.999999,,,,,,,,,,500346.000000,-2.218279
1645142422.001893,,,,,,,,,,500347.000000,-2.218279
1645142422.002571,,,,,,,,,,500348.000000,-2.218279
1645142422.004434,,,,,,,,,,500349.000000,-2.218279
1645142422.006401,,,,,,,,,,500350.000000,-2.218279
1645142422.009037,,,,,,,,,,500351.000000,-2.218279
1645142422.009619,,,,,,,,,,500352.000000,-2.218279
1645142422.010178,,,,,,,,,,500353.000000,-2.218279
1645142422.010397,,,,,,,,,,500354.000000,-2.218279
1645142422.012901,,,,,,,,,,500355.000000,-2.218279
1645142422.016407,,,,,,,,,,500356.000000,-2.218279
1645142422.016484,,,,,,,,,,500357.000000,-2.218279
