__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1642806188.250547,,,,,,,,,-1.330967
1642806188.250623,,,,,,,,,-1.330967
1642806188.251839,9709219.000000,1642806188.251839,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.252836,9709220.000000,1642806188.252836,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.253198,,,,,,,,,-1.330967
1642806188.253659,,,,,,,,,-1.330967
1642806188.253840,9709221.000000,1642806188.253840,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.255526,,,,,,,,,-1.330967
1642806188.255844,9709222.000000,1642806188.255844,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.255866,,,,,,,,,-1.330967
1642806188.256838,9709223.000000,1642806188.256838,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.257500,,,,,,,,,-1.330967
1642806188.257864,9709224.000000,1642806188.257864,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.258849,9709225.000000,1642806188.258849,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.259930,,,,,,,,,-1.330967
1642806188.260518,,,,,,,,,-1.330967
1642806188.260896,,,,,,,,,-1.330967
1642806188.260925,9709226.000000,1642806188.260925,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.261841,9709227.000000,1642806188.261841,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.262948,9709228.000000,1642806188.262948,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.263968,9709229.000000,1642806188.263968,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.264402,,,,,,,,,-1.330967
1642806188.265743,,,,,,,,,-1.330967
1642806188.265872,9709230.000000,1642806188.265872,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.266865,9709231.000000,1642806188.266865,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
1642806188.267294,,,,,,,,,-1.330967
1642806188.267846,9709232.000000,1642806188.267846,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,
