__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1642795126.429235,859761.000000,1642795126.429235,0.000000,-0.193281,1.087494,-0.024000,210.298795,11.309734,
1642795126.430246,859762.000000,1642795126.430246,0.000000,-0.191747,1.112689,-0.024000,210.298795,11.309734,
1642795126.430499,,,,,,,,,-0.033136
1642795126.432213,859763.000000,1642795126.432213,0.000000,-0.188679,1.137128,-0.024000,210.315285,11.205014,
1642795126.432745,,,,,,,,,-0.036333
1642795126.432840,,,,,,,,,-0.036333
1642795126.433226,859764.000000,1642795126.433226,0.000000,-0.187145,1.149577,-0.027000,210.337912,11.100294,
1642795126.434267,859765.000000,1642795126.434267,0.000000,-0.185611,1.173500,-0.027000,210.337912,11.100294,
1642795126.434656,,,,,,,,,-0.034131
1642795126.440230,859770.000000,1642795126.440230,0.000000,-0.185611,1.173500,-0.017000,210.400421,10.890855,
1642795126.441255,859771.000000,1642795126.441255,0.000000,-0.185611,1.173500,-0.013000,210.416528,10.786135,
1642795126.443251,859772.000000,1642795126.443251,0.000000,-0.185611,1.173500,-0.014000,210.430717,10.786135,
1642795126.444233,859773.000000,1642795126.444233,0.000000,-0.185611,1.173500,-0.014000,210.430717,10.786135,
1642795126.445237,859774.000000,1642795126.445237,0.000000,-0.184077,1.185402,-0.022000,210.438004,10.681415,
1642795126.447234,859775.000000,1642795126.447234,0.000000,-0.165669,1.365933,-0.022000,210.460630,10.681415,
1642795126.448238,859776.000000,1642795126.448238,0.000000,-0.164136,1.377400,-0.024000,210.468684,10.576695,
1642795126.449256,859777.000000,1642795126.449256,0.000000,-0.162601,1.388848,-0.029000,210.474436,10.576695,
1642795126.450339,859778.000000,1642795126.450339,0.000000,-0.159534,1.412041,-0.028000,210.489776,10.471976,
1642795126.452231,859779.000000,1642795126.452231,0.000000,-0.158000,1.435294,-0.023000,210.495912,10.367256,
1642795126.453219,859780.000000,1642795126.453219,0.000000,-0.156466,1.446303,-0.023000,210.525441,10.262536,
1642795126.454267,859781.000000,1642795126.454267,0.000000,-0.153398,1.467707,-0.023000,210.525441,10.262536,
1642795126.455230,859782.000000,1642795126.455230,0.000000,-0.151864,1.478295,-0.023000,210.525441,10.262536,
1642795126.457321,859783.000000,1642795126.457321,0.000000,-0.148796,1.499602,-0.026000,210.552285,10.157816,
1642795126.458251,859784.000000,1642795126.458251,0.000000,-0.145728,1.521399,-0.026000,210.552285,10.157816,
1642795126.459108,,,,,,,,,-0.034131
1642795126.459237,859785.000000,1642795126.459237,0.000000,-0.144194,1.532557,-0.027000,210.567625,10.053096,
1642795126.459654,,,,,,,,,-0.034131
1642795126.460231,859786.000000,1642795126.460231,0.000000,-0.142660,1.543906,-0.029000,210.573761,10.053096,
1642795126.461724,,,,,,,,,-0.034131
1642795126.461818,,,,,,,,,-0.034131
1642795126.462241,859787.000000,1642795126.462241,0.000000,-0.139592,1.567189,-0.030000,210.595620,9.948377,
