__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645048083.102069,2664385.000000,1645048083.102069,0.000000,0.000000,-0.000000,-0.453000,-0.810325,-0.418879,
1645048083.103142,2664386.000000,1645048083.103142,0.000000,0.000000,-0.000000,-0.451000,-0.810709,-0.418879,
1645048083.103312,,,,,,,,,-0.424019
1645048083.104053,2664387.000000,1645048083.104053,0.000000,0.000000,-0.000000,-0.453000,-0.811092,-0.418879,
1645048083.104474,,,,,,,,,-0.460160
1645048083.105459,,,,,,,,,-0.442645
1645048083.106050,2664388.000000,1645048083.106050,0.000000,0.000000,-0.000000,-0.450000,-0.811476,-0.418879,
1645048083.107021,2664389.000000,1645048083.107021,0.000000,0.000000,-0.000000,-0.449000,-0.811859,-0.314159,
1645048083.108032,2664390.000000,1645048083.108032,0.000000,0.000000,-0.000000,-0.443000,-0.812243,-0.314159,
1645048083.108967,,,,,,,,,-0.470750
1645048083.109044,2664391.000000,1645048083.109044,0.000000,0.000000,-0.000000,-0.443000,-0.812243,-0.314159,
1645048083.109360,,,,,,,,,-0.466754
1645048083.110381,,,,,,,,,-0.467582
1645048083.111037,2664392.000000,1645048083.111037,0.000000,0.000000,-0.000000,-0.448000,-0.813010,-0.314159,
1645048083.111937,,,,,,,,,-0.410916
1645048083.112038,2664393.000000,1645048083.112038,0.000000,0.000000,-0.000000,-0.447000,-0.813393,-0.314159,
1645048083.112477,,,,,,,,,-0.477134
1645048083.113048,2664394.000000,1645048083.113048,0.000000,0.000000,-0.000000,-0.447000,-0.813393,-0.314159,
1645048083.114066,2664395.000000,1645048083.114066,0.000000,0.000000,-0.000000,-0.448000,-0.814160,-0.314159,
1645048083.116087,2664396.000000,1645048083.116087,0.000000,0.000000,-0.000000,-0.457000,-0.814927,-0.314159,
1645048083.117049,2664397.000000,1645048083.117049,0.000000,0.000000,-0.000000,-0.457000,-0.814927,-0.314159,
1645048083.118044,2664398.000000,1645048083.118044,0.000000,0.000000,-0.000000,-0.462000,-0.815311,-0.314159,
1645048083.119041,2664399.000000,1645048083.119041,0.000000,0.000000,-0.000000,-0.468000,-0.815694,-0.314159,
1645048083.121006,2664400.000000,1645048083.121006,0.000000,0.000000,-0.000000,-0.471000,-0.816078,-0.314159,
1645048083.122050,2664401.000000,1645048083.122050,0.000000,0.000000,0.000000,-0.471000,-0.816078,-0.314159,
1645048083.123032,2664402.000000,1645048083.123032,0.000000,0.000000,0.000000,-0.475000,-0.817228,-0.314159,
1645048083.124052,2664403.000000,1645048083.124052,0.000000,0.000000,0.000000,-0.475000,-0.817228,-0.314159,
1645048083.126082,2664404.000000,1645048083.126082,0.000000,0.000000,0.000000,-0.476000,-0.817612,-0.314159,
1645048083.127044,2664405.000000,1645048083.127044,0.000000,0.000000,0.000000,-0.477000,-0.817995,-0.314159,
1645048083.128069,2664406.000000,1645048083.128069,0.000000,0.000000,0.000000,-0.477000,-0.818379,-0.314159,
1645048083.129125,2664407.000000,1645048083.129125,0.000000,0.000000,0.000000,-0.476000,-0.818379,-0.314159,
1645048083.131060,2664408.000000,1645048083.131060,0.000000,0.000000,0.000000,-0.476000,-0.819146,-0.314159,
1645048083.132088,2664409.000000,1645048083.132088,0.000000,0.000000,0.000000,-0.477000,-0.819529,-0.314159,
1645048083.133107,2664410.000000,1645048083.133107,0.000000,0.000000,0.000000,-0.477000,-0.819529,-0.314159,
1645048083.134063,2664411.000000,1645048083.134063,0.000000,0.000000,0.000000,-0.478000,-0.819913,-0.314159,
1645048083.136041,2664412.000000,1645048083.136041,0.000000,0.000000,0.000000,-0.477000,-0.821063,-0.314159,
1645048083.137115,2664413.000000,1645048083.137115,0.000000,0.000000,0.000000,-0.477000,-0.821063,-0.314159,
1645048083.138034,2664414.000000,1645048083.138034,0.000000,0.000000,0.000000,-0.478000,-0.821063,-0.314159,
1645048083.139030,2664415.000000,1645048083.139030,0.000000,0.000000,0.000000,-0.478000,-0.821830,-0.314159,
1645048083.140083,,,,,,,,,-0.521270
1645048083.140329,,,,,,,,,-0.481048
1645048083.141032,2664416.000000,1645048083.141032,0.000000,0.000000,0.000000,-0.478000,-0.822214,-0.314159,
1645048083.141748,,,,,,,,,-0.463627
1645048083.142041,2664417.000000,1645048083.142041,0.000000,0.000000,0.000000,-0.478000,-0.822214,-0.314159,
1645048083.143061,2664418.000000,1645048083.143061,0.000000,0.000000,0.000000,-0.477000,-0.822597,-0.314159,
1645048083.144048,2664419.000000,1645048083.144048,0.000000,0.000000,0.000000,-0.478000,-0.823364,-0.314159,
1645048083.144287,,,,,,,,,-0.524180
1645048083.146179,2664420.000000,1645048083.146179,0.000000,0.000000,0.000000,-0.479000,-0.823748,-0.314159,
1645048083.147089,2664421.000000,1645048083.147089,0.000000,0.000000,0.000000,-0.476000,-0.824131,-0.314159,
1645048083.148057,2664422.000000,1645048083.148057,0.000000,0.000000,0.000000,-0.470000,-0.824515,-0.314159,
1645048083.149012,2664423.000000,1645048083.149012,0.000000,0.000000,0.000000,-0.470000,-0.824515,-0.314159,
1645048083.149479,,,,,,,,,-0.485529
1645048083.150060,,,,,,,,,-0.522597
1645048083.154304,2664425.000000,1645048083.154304,0.000000,0.000000,0.000000,-0.497000,-0.825282,-0.314159,
1645048083.155496,,,,,,,,,-0.504346
1645048083.157507,2664427.000000,1645048083.157507,0.000000,0.000000,0.000000,-0.516000,-0.826816,-0.314159,
1645048083.157913,,,,,,,,,-0.533250
1645048083.158033,,,,,,,,,-0.457034
1645048083.158451,2664428.000000,1645048083.158451,0.000000,0.000000,0.000000,-0.502000,-0.827583,-0.314159,
1645048083.159333,,,,,,,,,-0.462059
