__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645047579.596891,,,,,,,,,-0.000255
1645047579.597072,,,,,,,,,-0.000083
1645047579.598866,2261581.000000,1645047579.598866,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645047579.599867,2261582.000000,1645047579.599867,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645047579.600074,,,,,,,,,0.000132
1645047579.600859,2261583.000000,1645047579.600859,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645047579.601452,,,,,,,,,0.000135
1645047579.601878,2261584.000000,1645047579.601878,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645047579.602875,2261585.000000,1645047579.602875,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645047579.603858,2261586.000000,1645047579.603858,0.000000,0.000000,0.000000,0.001000,-0.000383,0.000000,
1645047579.604072,,,,,,,,,0.000170
1645047579.604853,2261587.000000,1645047579.604853,0.000000,0.000000,0.000000,0.003000,-0.000383,0.000000,
1645047579.605854,2261588.000000,1645047579.605854,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645047579.606147,,,,,,,,,0.000039
1645047579.606864,2261589.000000,1645047579.606864,0.000000,0.000000,0.000000,0.001000,-0.000383,0.000000,
1645047579.607853,2261590.000000,1645047579.607853,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645047579.607909,,,,,,,,,-0.000308
1645047579.609866,2261591.000000,1645047579.609866,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645047579.610029,,,,,,,,,-0.000265
1645047579.610872,2261592.000000,1645047579.610872,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645047579.611856,2261593.000000,1645047579.611856,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
