__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645046832.635551,1664012.000000,1645046832.635551,0.000000,0.000000,-0.000000,-0.002000,-0.000383,0.000000,
1645046832.636543,1664013.000000,1645046832.636543,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.638273,,,,,,,,,-0.000002
1645046832.638558,1664014.000000,1645046832.638558,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.639555,1664015.000000,1645046832.639555,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.640548,1664016.000000,1645046832.640548,0.000000,0.000000,-0.000000,0.001000,-0.000383,0.000000,
1645046832.641542,1664017.000000,1645046832.641542,0.000000,0.000000,-0.000000,0.001000,-0.000383,0.000000,
1645046832.642725,,,,,,,,,-0.000002
1645046832.643513,1664018.000000,1645046832.643513,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.644558,1664019.000000,1645046832.644558,0.000000,0.000000,-0.000000,0.001000,-0.000383,0.000000,
1645046832.644638,,,,,,,,,-0.000002
1645046832.645372,,,,,,,,,-0.000002
1645046832.645544,1664020.000000,1645046832.645544,0.000000,0.000000,-0.000000,0.001000,-0.000383,0.000000,
1645046832.646594,1664021.000000,1645046832.646594,0.000000,0.000000,-0.000000,0.001000,-0.000383,0.000000,
1645046832.648290,,,,,,,,,-0.000002
1645046832.648536,1664022.000000,1645046832.648536,0.000000,0.000000,-0.000000,-0.001000,-0.000383,0.000000,
1645046832.648672,,,,,,,,,-0.000002
1645046832.649545,1664023.000000,1645046832.649545,0.000000,0.000000,-0.000000,-0.001000,-0.000383,0.000000,
1645046832.651065,1664024.000000,1645046832.651065,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.652038,1664025.000000,1645046832.652038,0.000000,0.000000,-0.000000,0.000000,-0.000383,0.000000,
1645046832.653275,,,,,,,,,-0.000002
1645046832.653540,1664026.000000,1645046832.653540,0.000000,0.000000,0.000000,0.001000,-0.000383,0.000000,
1645046832.654028,,,,,,,,,-0.000002
1645046832.654544,1664027.000000,1645046832.654544,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645046832.655098,,,,,,,,,-0.000002
1645046832.655548,1664028.000000,1645046832.655548,0.000000,0.000000,0.000000,-0.002000,-0.000383,0.000000,
1645046832.656542,1664029.000000,1645046832.656542,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645046832.657902,,,,,,,,,-0.000002
1645046832.658552,1664030.000000,1645046832.658552,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645046832.658648,,,,,,,,,-0.000002
1645046832.659548,1664031.000000,1645046832.659548,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645046832.660549,1664032.000000,1645046832.660549,0.000000,0.000000,0.000000,0.002000,-0.000383,0.000000,
1645046832.661557,1664033.000000,1645046832.661557,0.000000,0.000000,0.000000,0.000000,-0.000383,0.000000,
1645046832.663541,1664034.000000,1645046832.663541,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645046832.663707,,,,,,,,,-0.000002
1645046832.664373,,,,,,,,,-0.000002
1645046832.664545,1664035.000000,1645046832.664545,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645046832.664734,,,,,,,,,-0.000002
1645046832.665539,1664036.000000,1645046832.665539,0.000000,0.000000,0.000000,-0.001000,-0.000383,0.000000,
1645046832.666511,1664037.000000,1645046832.666511,0.000000,0.000000,0.000000,-0.002000,-0.000383,0.000000,
1645046832.667384,,,,,,,,,-0.000002
1645046832.668530,1664038.000000,1645046832.668530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.669539,1664039.000000,1645046832.669539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.670267,,,,,,,,,-0.000002
1645046832.670538,1664040.000000,1645046832.670538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.670967,,,,,,,,,-0.000002
1645046832.671538,1664041.000000,1645046832.671538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.672541,,,,,,,,,-0.000002
1645046832.673551,1664042.000000,1645046832.673551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.674564,1664043.000000,1645046832.674564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.675565,1664044.000000,1645046832.675565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.675699,,,,,,,,,-0.000002
1645046832.676558,1664045.000000,1645046832.676558,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,
1645046832.677316,,,,,,,,,-0.000002
1645046832.678564,1664046.000000,1645046832.678564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.679736,,,,,,,,,-0.000002
1645046832.680980,1664048.000000,1645046832.680980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1645046832.681835,1664049.000000,1645046832.681835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
