__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645650714.007237,264369.000000,1645650714.007237,0.000000,3.138525,-1.211550,-3.508000,-44.321307,40.526545,
1645650714.008237,264370.000000,1645650714.008237,0.000000,3.138525,-1.180713,-3.508000,-44.321307,40.526545,
1645650714.010252,264371.000000,1645650714.010252,0.000000,3.138525,-1.078236,-3.583000,-44.209710,40.002946,
1645650714.011235,264372.000000,1645650714.011235,0.000000,3.138525,-1.041213,-3.546000,-44.179414,39.898227,
1645650714.012255,264373.000000,1645650714.012255,0.000000,3.140060,-1.002249,-3.546000,-44.179414,39.898227,
1645650714.013257,264374.000000,1645650714.013257,0.000000,3.140060,-0.919598,-3.512000,-44.130710,39.479348,
1645650714.015226,264375.000000,1645650714.015226,0.000000,3.140060,-0.832425,-3.374000,-44.050943,38.955749,
1645650714.016237,264376.000000,1645650714.016237,0.000000,3.141594,-0.787015,-3.374000,-44.050943,38.955749,
1645650714.017258,264377.000000,1645650714.017258,0.000000,3.143127,-0.692655,-3.212000,-44.001855,38.222711,
1645650714.019226,264378.000000,1645650714.019226,0.000000,3.143127,-0.594104,-3.113000,-43.933210,38.013271,
1645650714.020234,264379.000000,1645650714.020234,0.000000,3.144661,-0.543467,-3.113000,-43.933210,38.013271,
1645650714.021281,264380.000000,1645650714.021281,0.000000,3.146196,-0.440091,-2.765000,-43.842321,37.175513,
1645650714.022233,264381.000000,1645650714.022233,0.000000,3.146196,-0.387501,-2.765000,-43.842321,37.175513,
1645650714.023232,264382.000000,1645650714.023232,0.000000,3.147730,-0.334165,-2.587000,-43.820079,36.861354,
1645650714.025275,264383.000000,1645650714.025275,0.000000,3.147730,-0.280605,-1.958000,-43.732642,36.023596,
1645650714.026240,264384.000000,1645650714.026240,0.000000,3.150797,-0.116799,-1.958000,-43.732642,36.023596,
1645650714.027235,264385.000000,1645650714.027235,0.000000,3.152332,-0.061513,-1.626000,-43.711550,35.709436,
1645650714.028239,264386.000000,1645650714.028239,0.000000,3.153866,-0.005710,-1.626000,-43.711550,35.709436,
1645650714.030235,264387.000000,1645650714.030235,0.000000,3.156933,0.161606,-1.111000,-43.623729,34.871678,
1645650714.031245,264388.000000,1645650714.031245,0.000000,3.156933,0.217042,-0.899000,-43.606088,34.557519,
1645650714.032230,264389.000000,1645650714.032230,0.000000,3.158468,0.272168,-0.899000,-43.606088,34.557519,
1645650714.033235,264390.000000,1645650714.033235,0.000000,3.160002,0.327110,-0.567000,-43.567739,34.033920,
1645650714.035226,264391.000000,1645650714.035226,0.000000,3.163069,0.487443,-0.270000,-43.507147,33.510322,
1645650714.036253,264392.000000,1645650714.036253,0.000000,3.164604,0.539835,-0.270000,-43.507147,33.510322,
