__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1645645730.440428,63300.000000,367757.000000,1645645730.440428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.442736,63301.000000,367758.000000,1645645730.442736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.443446,63302.000000,367759.000000,1645645730.443446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.444415,63303.000000,367760.000000,1645645730.444415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.445426,63304.000000,367761.000000,1645645730.445426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.446422,63305.000000,367762.000000,1645645730.446422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.447423,63306.000000,367763.000000,1645645730.447423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.448422,63307.000000,367764.000000,1645645730.448422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.457423,63308.000000,367771.000000,1645645730.457423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.458422,63309.000000,367772.000000,1645645730.458422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.461979,63310.000000,367773.000000,1645645730.461979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.463414,63311.000000,367774.000000,1645645730.463414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.464415,63312.000000,367775.000000,1645645730.464415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.466425,63313.000000,367777.000000,1645645730.466425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.468421,63314.000000,367779.000000,1645645730.468421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.469759,63315.000000,367780.000000,1645645730.469759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.470373,63316.000000,367781.000000,1645645730.470373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.471698,63317.000000,367782.000000,1645645730.471698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.472414,63318.000000,367783.000000,1645645730.472414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.473433,63319.000000,367784.000000,1645645730.473433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.475434,63320.000000,367785.000000,1645645730.475434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.477420,63321.000000,367787.000000,1645645730.477420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.478423,63322.000000,367788.000000,1645645730.478423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.480413,63323.000000,367789.000000,1645645730.480413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.481424,63324.000000,367790.000000,1645645730.481424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.482422,63325.000000,367791.000000,1645645730.482422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.483420,63326.000000,367792.000000,1645645730.483420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.485857,63327.000000,367793.000000,1645645730.485857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.487417,63328.000000,367794.000000,1645645730.487417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.488425,63329.000000,367795.000000,1645645730.488425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.489418,63330.000000,367796.000000,1645645730.489418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.490419,63331.000000,367797.000000,1645645730.490419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.491434,63332.000000,367798.000000,1645645730.491434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.492416,63333.000000,367799.000000,1645645730.492416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.493407,63334.000000,367800.000000,1645645730.493407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.495419,63335.000000,367801.000000,1645645730.495419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.496415,63336.000000,367802.000000,1645645730.496415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.497413,63337.000000,367803.000000,1645645730.497413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.498415,63338.000000,367804.000000,1645645730.498415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.500124,63339.000000,367805.000000,1645645730.500124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.501456,63340.000000,367806.000000,1645645730.501456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.502416,63341.000000,367807.000000,1645645730.502416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.503461,63342.000000,367808.000000,1645645730.503461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.505441,63343.000000,367809.000000,1645645730.505441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.506417,63344.000000,367810.000000,1645645730.506417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.507423,63345.000000,367811.000000,1645645730.507423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.509422,63346.000000,367812.000000,1645645730.509422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.510416,63347.000000,367813.000000,1645645730.510416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.511422,63348.000000,367814.000000,1645645730.511422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.512420,63349.000000,367815.000000,1645645730.512420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.513415,63350.000000,367816.000000,1645645730.513415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.515422,63351.000000,367817.000000,1645645730.515422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.516412,63352.000000,367818.000000,1645645730.516412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.517459,63353.000000,367819.000000,1645645730.517459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.518450,63354.000000,367820.000000,1645645730.518450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.519770,63355.000000,367821.000000,1645645730.519770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1645645730.525445,63356.000000,367825.000000,1645645730.525445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
