__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity
1645645670.706551,16561.000000,319970.000000,1645645670.706551,0.000000,0.101244,-0.438830,0.420000,-17.495818,-15.393804
1645645670.707580,16562.000000,319971.000000,1645645670.707580,0.000000,0.099709,-0.462096,0.464000,-17.502721,-14.974925
1645645670.708556,16563.000000,319972.000000,1645645670.708556,0.000000,0.099709,-0.485414,0.479000,-17.516527,-14.765485
1645645670.711619,16564.000000,319974.000000,1645645670.711619,0.000000,0.096642,-0.556425,0.535000,-17.535318,-14.451326
1645645670.712612,16565.000000,319975.000000,1645645670.712612,0.000000,0.096642,-0.556425,0.552000,-17.535318,-14.241887
1645645670.713569,16566.000000,319976.000000,1645645670.713569,0.000000,0.093573,-0.653141,0.562000,-17.540303,-13.927727
1645645670.715568,16567.000000,319977.000000,1645645670.715568,0.000000,0.090506,-0.701329,0.613000,-17.561779,-13.299409
1645645670.716569,16568.000000,319978.000000,1645645670.716569,0.000000,0.088972,-0.725954,0.629000,-17.567531,-13.089969
1645645670.717588,16569.000000,319979.000000,1645645670.717588,0.000000,0.088972,-0.750399,0.637000,-17.575968,-13.089969
1645645670.718585,16570.000000,319980.000000,1645645670.718585,0.000000,0.085903,-0.799648,0.650000,-17.579420,-12.566371
1645645670.720564,16571.000000,319981.000000,1645645670.720564,0.000000,0.084370,-0.849707,0.663000,-17.587090,-12.147492
1645645670.721560,16572.000000,319982.000000,1645645670.721560,0.000000,0.082836,-0.874573,0.660000,-17.593226,-11.938052
1645645670.722563,16573.000000,319983.000000,1645645670.722563,0.000000,0.079767,-0.924798,0.660000,-17.593226,-11.938052
1645645670.723588,16574.000000,319984.000000,1645645670.723588,0.000000,0.078234,-0.950384,0.676000,-17.598978,-11.414453
1645645670.727991,16575.000000,319987.000000,1645645670.727991,0.000000,0.075165,-1.002860,0.806000,-17.612017,-10.157816
1645645670.728597,16576.000000,319988.000000,1645645670.728597,0.000000,0.070564,-1.107098,0.806000,-17.612017,-10.157816
1645645670.730550,16577.000000,319989.000000,1645645670.730550,0.000000,0.065962,-1.185610,0.883000,-17.614701,-9.320058
1645645670.731565,16578.000000,319990.000000,1645645670.731565,0.000000,0.064428,-1.212007,0.883000,-17.614701,-9.320058
1645645670.732521,16579.000000,319991.000000,1645645670.732521,0.000000,0.062893,-1.238512,0.893000,-17.615085,-9.005899
1645645670.733557,16580.000000,319992.000000,1645645670.733557,0.000000,0.059826,-1.291758,0.945000,-17.615085,-8.691740
1645645670.735552,16581.000000,319993.000000,1645645670.735552,0.000000,0.056757,-1.345097,0.960000,-17.613551,-8.482300
1645645670.736542,16582.000000,319994.000000,1645645670.736542,0.000000,0.055223,-1.371695,0.995000,-17.612400,-7.853982
1645645670.737554,16583.000000,319995.000000,1645645670.737554,0.000000,0.050621,-1.426674,1.011000,-17.609716,-7.539822
1645645670.738733,16584.000000,319996.000000,1645645670.738733,0.000000,0.049088,-1.454729,1.011000,-17.609716,-7.539822
1645645670.740566,16585.000000,319997.000000,1645645670.740566,0.000000,0.046021,-1.511210,1.032000,-17.601279,-6.702064
1645645670.741596,16586.000000,319998.000000,1645645670.741596,0.000000,0.044485,-1.539358,1.042000,-17.598978,-6.387905
1645645670.742573,16587.000000,319999.000000,1645645670.742573,0.000000,0.039885,-1.597011,1.042000,-17.598978,-6.387905
1645645670.743564,16588.000000,320000.000000,1645645670.743564,0.000000,0.038349,-1.626069,1.042000,-17.592075,-6.073746
1645645670.744626,16589.000000,320001.000000,1645645670.744626,0.000000,0.036816,-1.655014,1.047000,-17.582488,-5.131268
1645645670.746551,16590.000000,320002.000000,1645645670.746551,0.000000,0.030680,-1.743583,1.050000,-17.575201,-4.607669
1645645670.747550,16591.000000,320003.000000,1645645670.747550,0.000000,0.029146,-1.772841,1.050000,-17.575201,-4.607669
1645645670.748554,16592.000000,320004.000000,1645645670.748554,0.000000,0.026077,-1.802368,1.050000,-17.567148,-4.293510
1645645670.750652,16593.000000,320005.000000,1645645670.750652,0.000000,0.019941,-1.890502,1.055000,-17.557944,-3.665191
1645645670.751549,16594.000000,320006.000000,1645645670.751549,0.000000,0.018408,-1.919836,1.060000,-17.547973,-3.036873
1645645670.752549,16595.000000,320007.000000,1645645670.752549,0.000000,0.016874,-1.948782,1.067000,-17.537235,-2.722714
1645645670.753554,16596.000000,320008.000000,1645645670.753554,0.000000,0.012272,-2.006681,1.067000,-17.537235,-2.722714
1645645670.755559,16597.000000,320009.000000,1645645670.755559,0.000000,0.007669,-2.063270,1.068000,-17.526114,-2.199115
1645645670.756557,16598.000000,320010.000000,1645645670.756557,0.000000,0.006136,-2.091171,1.068000,-17.526114,-2.199115
1645645670.757558,16599.000000,320011.000000,1645645670.757558,0.000000,0.001534,-2.146832,1.068000,-17.526114,-2.199115
1645645670.758570,16600.000000,320012.000000,1645645670.758570,0.000000,0.000000,-2.173875,1.068000,-17.526114,-2.199115
1645645670.760526,16601.000000,320013.000000,1645645670.760526,0.000000,-0.004602,-2.227092,1.071000,-17.513459,-1.884956
1645645670.761564,16602.000000,320014.000000,1645645670.761564,0.000000,-0.007669,-2.253340,1.071000,-17.513459,-1.884956
1645645670.762561,16603.000000,320015.000000,1645645670.762561,0.000000,-0.012272,-2.304801,1.082000,-17.463221,-0.209440
1645645670.763595,16604.000000,320016.000000,1645645670.763595,0.000000,-0.013805,-2.330023,1.089000,-17.454400,0.418879
1645645670.764989,16605.000000,320017.000000,1645645670.764989,0.000000,-0.018408,-2.379824,1.089000,-17.440978,0.628319
1645645670.766553,16606.000000,320018.000000,1645645670.766553,0.000000,-0.023010,-2.426977,1.091000,-17.431774,0.942478
1645645670.767572,16607.000000,320019.000000,1645645670.767572,0.000000,-0.024544,-2.449536,1.093000,-17.422570,1.151917
1645645670.768590,16608.000000,320020.000000,1645645670.768590,0.000000,-0.027611,-2.471718,1.094000,-17.408764,1.361357
1645645670.770555,16609.000000,320021.000000,1645645670.770555,0.000000,-0.035282,-2.535241,1.102000,-17.386905,1.884956
1645645670.771564,16610.000000,320022.000000,1645645670.771564,0.000000,-0.036816,-2.555839,1.102000,-17.386905,1.884956
1645645670.772558,16611.000000,320023.000000,1645645670.772558,0.000000,-0.038349,-2.575574,1.102000,-17.378852,2.408554
1645645670.773514,16612.000000,320024.000000,1645645670.773514,0.000000,-0.042952,-2.613300,1.098000,-17.362362,2.617994
1645645670.775560,16613.000000,320025.000000,1645645670.775560,0.000000,-0.047554,-2.648451,0.982000,-17.346255,3.141593
1645645670.776560,16614.000000,320026.000000,1645645670.776560,0.000000,-0.050621,-2.665169,0.859000,-17.328614,3.351032
1645645670.777560,16615.000000,320027.000000,1645645670.777560,0.000000,-0.055223,-2.697896,0.859000,-17.328614,3.351032
1645645670.778561,16616.000000,320028.000000,1645645670.778561,0.000000,-0.058290,-2.713802,0.697000,-17.312507,3.769911
1645645670.780575,16617.000000,320029.000000,1645645670.780575,0.000000,-0.061359,-2.743306,0.156000,-17.280677,4.188790
1645645670.781622,16618.000000,320030.000000,1645645670.781622,0.000000,-0.065960,-2.769592,0.156000,-17.280677,4.188790
1645645670.782572,16619.000000,320031.000000,1645645670.782572,0.000000,-0.069029,-2.781681,-0.279000,-17.272624,4.502949
1645645670.783600,16620.000000,320032.000000,1645645670.783600,0.000000,-0.070562,-2.792821,-0.279000,-17.272624,4.502949
1645645670.785561,16621.000000,320033.000000,1645645670.785561,0.000000,-0.076698,-2.821638,-0.743000,-17.245012,4.921828
1645645670.786572,16622.000000,320034.000000,1645645670.786572,0.000000,-0.079767,-2.829368,-0.852000,-17.232740,5.131268
1645645670.787586,16623.000000,320035.000000,1645645670.787586,0.000000,-0.081301,-2.836012,-0.852000,-17.232740,5.131268
1645645670.788653,16624.000000,320036.000000,1645645670.788653,0.000000,-0.082834,-2.841288,-0.920000,-17.222002,5.131268
1645645670.790556,16625.000000,320037.000000,1645645670.790556,0.000000,-0.088970,-2.849010,-0.962000,-17.212415,5.235988
1645645670.791562,16626.000000,320038.000000,1645645670.791562,0.000000,-0.090504,-2.848915,-0.962000,-17.212415,5.235988
1645645670.792561,16627.000000,320039.000000,1645645670.792561,0.000000,-0.092039,-2.847180,-0.999000,-17.196308,5.235988
1645645670.793556,16628.000000,320040.000000,1645645670.793556,0.000000,-0.096640,-2.839098,-0.999000,-17.196308,5.235988
