__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645645507.126477,9101.000000,189105.000000,1645645507.126477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.126576,,,,,,,,,,7526.000000,-1.109139
1645645507.128534,9102.000000,189107.000000,1645645507.128534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.129501,,,,,,,,,,7527.000000,-1.109139
1645645507.129590,,,,,,,,,,7528.000000,-1.109139
1645645507.129757,9103.000000,189108.000000,1645645507.129757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.130500,9104.000000,189109.000000,1645645507.130500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.131473,9105.000000,189110.000000,1645645507.131473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.132372,,,,,,,,,,7529.000000,-1.109139
1645645507.132400,,,,,,,,,,7530.000000,-1.109139
1645645507.132470,9106.000000,189111.000000,1645645507.132470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.133467,9107.000000,189112.000000,1645645507.133467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.135491,9108.000000,189113.000000,1645645507.135491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.135494,,,,,,,,,,7531.000000,-1.109139
1645645507.136469,9109.000000,189114.000000,1645645507.136469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.136847,,,,,,,,,,7532.000000,-1.109139
1645645507.137477,9110.000000,189115.000000,1645645507.137477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.138478,9111.000000,189116.000000,1645645507.138478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.139356,,,,,,,,,,7533.000000,-1.109139
1645645507.140096,,,,,,,,,,7534.000000,-1.109139
1645645507.140423,,,,,,,,,,7535.000000,-1.109139
1645645507.140472,9112.000000,189117.000000,1645645507.140472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.140589,,,,,,,,,,7536.000000,-1.109139
1645645507.141479,9113.000000,189118.000000,1645645507.141479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.142236,,,,,,,,,,7537.000000,-1.109139
1645645507.142471,9114.000000,189119.000000,1645645507.142471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.142687,,,,,,,,,,7538.000000,-1.109139
1645645507.143471,9115.000000,189120.000000,1645645507.143471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.145473,9116.000000,189121.000000,1645645507.145473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.145545,,,,,,,,,,7539.000000,-1.109139
1645645507.146216,,,,,,,,,,7540.000000,-1.109139
1645645507.146469,9117.000000,189122.000000,1645645507.146469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.146623,,,,,,,,,,7541.000000,-1.109139
1645645507.147471,9118.000000,189123.000000,1645645507.147471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.148530,,,,,,,,,,7542.000000,-1.109139
